Title,Description,Values
ukrayna yeni boyut tanımlası,ukrayna lebutik int ua boyutunun e bayi olarak tanımlanmasına rağmen satış bütçesi giriş ekranına gelmediğini görüyoruz nedenle bütçe girişi yapılamıyor tanımlamalar ekranı ektedir boyut tanımlaması yapıldıktan sonra boyut hiyerarşisi güncellenip mizanı aktar işlemleri yapılmıştır i̇lgili boyutun satış bütçesi giriş ekranına gelmesi yardımlarınızı rica ediyoruz rusya yeni mağazalar boyut tanımlaması yapıldığında herhangi bir sorunla karşılaşmadık bütçe girişlerini yapabilmiştik sorunun ukrayna özelinde gerçekleşmesinin bir nedeni v,0
avrupa dijital bankacılık servisinin eklenmesi,avrupa dijital bankacılık servis i isminde bir müdürlük yapısının sisteme eklenerek yılı bütçe girişi yapacak şekilde yetkilendirilmesini talep etmekteyiz dileriz,2
bilanço,bilanço çalışmalarımız durumdadır konuyla ilgili bizi bilgilendirmenizi rica edebilir miyiz,2
reklam i̇lan giderleri alt kırılım düzenlemesi,cognos tm bütçe modülü içerisinde yer alan gider bütçesi kalemlerinden reklam i̇lan giderleri alt kırılımlarının reklam i̇lan giderleri tv reklamı dijital reklam basın reklamı radyo reklamı prodüksiyon promosyon sponsorluk ajans servis ücretleri etkinlik organizasyon diğer reklam giderleri olacak şekilde düzenlenmesini talep eder,1
kullanıcı yetki devri,bankacılık hizmetleri operasyon müdürlüğü cognos yetkilerinin mustafa güneş ten alınarak engin gülşen e devredilmesini talep etmekteyiz,2
yılı verileri,cüneyt bey obp raporu hazırlıkları yıllarına ait verilere ihtiyacım var kısa süreliğine sisteme yıllara ait verileri getirebilir misiniz,2
kullanıcı devri,hazine müdürlüğü çalışanlarından şuayb üstüncan ın cognos giriş diğer kullanıcı yetkilerinin yine aynı müdürlük çalışanı reha çetindağ a devredilmesini talep eder,2
cognos ta satış i̇ş ailesi altına yurtdışı bankalar sayfası açılması,yurtdışı şubelerin sonraki dönemlerde bağımsız bütçe hazırlamak istemeleri nedeniyle cognos ta satış iş ailesi altına yurtdışı bankalar sayfası açılmasını talep ediyorum saygılarımla,2
kullanıcı yetki tanımlama,cognos bağımsız denetim raporları küpünde dk ürün eşleştirme ilave tenzil işlem yapma vb write read yetkisi celal karayaka kullanıcısına verilmesi istenmektedir lisans hakkımız sınırlı olduğundan pasif kullanıcılardan herhangi birisinin yetkisini alıp celal karayaka kullanıcısına tanımlanabilir ayrıca kullanıcının dk eşleme alanında sadece bağımsız denetim dk eşlemesini kullanabilmesi mevcut verilerin değişmemesi önem arz etmektedir,2
kullanıcı iptali,buse demir kullanıcısının iptalini rica ederim,2
mağaza operasyon yetkilendirmesi,ali bey bütçe raporlama yetkimin mağaza operasyon un yetkilendirilmesi değiştirmenizi rica ederim,2
mali tablo yurt dışı şube,mali tablo yurt dışı verilerinde erbil rakamları yansımasına rağmen bağdat verileri sadece dwh tan direkt aldığı manuel veri ambarına yapıştırılmadığı dönemde görünmektedir bağdat verisinin erbil mizana yansıdığı dönemden itibaren mali tablolara yansıması gerekmektedir bilgilerinize sunarım,0
birimlerin yetkililerinin değer görüntülemeleri,ekteki dosyada birimlerimizin tarihi itibariyle bütçe gerçekleşme durumu mevcuttur ekli çıktıyı cognos dashboard olarak ilgili birimin bütçe sorumlularına gösterebilmek yardımlarınızı rica ederiz saygılarımla,2
adetler,yerel kısmındaki adet kısımlarını usd tarafındaki adet kısımları birbirinden farklı gözükmektedir bütçe kurunu baz alarak usd adetlerini bölerek getirdiğini fark ettik iki kısımda adetlerinin aynı olması gerekmektedir yereldeki adetler doğru tutarlardır konu hakkında yardımlarınızı rica ediyoruz,0
ticket yetkisi,ali bey cem ülker in ticket a giriş yetkisinin kaldırlmasını pınar topsakal a giriş yetkisi şifresinin tanımlanmasını rica ederiz,2
görünmeyen bütçe kalemi,ibm cognos tm bütçe planlama mali tablolar küplerinde ilgili sayfalarda budget segment şube mali tablo xiii vergi karşılığı ana kalemi görünmemektedir gereği bilgilerinize sunarım,0
bağımsız denetim raporu yurt dışı verisi,cognos budget küpü bağımsız denetim sekmesinde yurt dışı şube bakiyelerinin gelmediği görünmektedir yardımlarınızı talep eder,0
bağımsız denetim mizan ürün eklenmesi,bağımsız denetim sekmesi cognos bütçe planlama küpü budget sekmesi içerisine bağımsız denetim mizan ürün eklenmesini talep ederiz,2
yield end cost parametreleri eklenmesi,ibm cognos tm bütçe modülü içerisine ekteki mail gönderilecek detayda yield and cost oranlarının bilanço gelir tablosu rakamları görünebilmesi düzenleme talep etmekteyiz yapı yeni bir sayfada oluşturulabileceği elementlerin içerisine eklenmek suretiyle oluşturulabilir saygılarımla,1
veri değerlerinin yapıştırılması,veri girişi yapmak istediğim ekrana kopyalamış olduğum değerleri yapıştırma yapamıyorum konuyla ilgili yardımlarınızı rica ederim,0
tanımlamalar,i̇k görev tanımlaması ekranlarına eklemiş olduğum titr lar yetki tanımlaması modülünde ilgili ekrana gelmemektedir kontrol edebilir misiniz,0
bloke hesaplar,türkiye dahil ülkelerde kullanıcı adı şifre ilgili hatadan dolayı bloke olan kullanıcılarının blokelerin kaldırılması yardımlarınızı rica ediyoruz,3
yatırımlar küpünde bütçelenen stoklar kaleminin bütçe plan küpünde görüntülenememesi,yatırımlar küpünde stoklar kalemine tanımlanan bütçeler bütçe plan küpünde görüntülenemiyor sorunun çözümü yardımlarınızı talep ederiz,0
bilanço hiyerarşik sıralaması,aktif toplamını minimize etmek istediğimizde ekteki alt kalemler hiyerarşi dışında kalmaktadır bilgilerinize sunarız,0
personel giderleri değişklik,personel giderlerinde aralık aralığında hangi kalemlerin tutarda değiştiğine bakabilir misiniz hangi kalem ekran olduğunu bilmiyoruz,2
loft performans tablosu,sedat bey eylül aylık performansa baktığımda usd smm sistemde görünen kur kur yeni smm olması gerekirken tl olarak görünmektedir sistemde görünen kur güncel değil midir diğer aylarda aynı durum söz konusu yazılan kurların güncel olmadığını düşünüyorum kontrol edip dönüş sağlarsanız cok sevinirim bilgi rica ederim,0
satış bütçesi,satış bütçesi alanına aylık kümülatif alanların getirilmesi yardımlarınızı rica ediyoruz,2
p l vadelendirme kdv sayfası,bilanço nakit akış modülü içerisinde yer alan p l vadelendirme kdv sayfasını çalıştırmanızı rica ederim ekran görüntüsü ektedir,2
veri güncelleme problemi,ibm cognos tm uygulama yönetiminden mizan güncelleme işlemi sırasında bütçe planlama küpü budget sekmesi sahipliği alınmadan mizan güncelleme işlemi yapıldığında veriler bozulmaktadır sorunun çözümü uygulama yönetiminde sahiplik alındığında diğer küplerde otomatik olarak sahiplik alınmalı güncelleme işlemi şekilde tamamlanmalıdır bilgilerinize sunarız,0
diğer indiirimlerin smm rapor ekranına akmaması,diğer gelirler ürünle ilgili modülünde gelirsiz ciro gelir diğer indirimler manuel olarak girilmiştir ancak smm rapor ekranına net gelir doğru akmamaktadır gelirsiz ciro gelir diğer indirimler olarak girilmiştir ancak net gelir yerine olarak yansımaktadır dün yaşadığımıza benzer şekilde indirim tarafında lfl yeni start up kırılımı hatalı olabilir düşünüyoruz kontrolünüzü rica ederiz,0
merkez giderleri sosyal yardım giderleri,a sosyal yardımlarla a sosyal hizmet giderleri iç içe girmektedir,0
mali tablo kontrol ekranı,mali tablo kontrol ekranında yer alan fark satırı diğer aktifler özkaynaklar gayri nakdir krediler hatalı gelmektedir i̇lgili ekranda fark satırlarının tamamı sıfır olmalıdır gereği bilgilerinize sunulur,0
ciro dağılımı sayfasındaki hata smm kitapçığı,smm kitağçığında bulunan ciro dağılımı sayfasında bütçelenen alanına veriler akmıyor uygulama yönetimininde süreçleri güncelledik ekran görüntüsü ektedir konu hakkında yardımlarınızı rica ediyoruz,0
admin user yetki devri,mevcut admin yetkilerinin yeni oluşturulan cognosadmin kullanıcına devredilmesi gerekmektedir,2
cognos yapılması istenen eklemeler,budget küpünde para birimi boyutunda elementler tp yp olarak gruplandırılabildiği mizan a aynı boyutlandırılabilme özelliğinin eklenmesi budgetta elementlerin usd olarak karşılığı alınabilkdiği mizan a aynı özelliğin eklenmesi,2
raporlarda gider kalemlerinin sırasının bozulması,raporlarda giderlerin sırasının değiştiğini görüyoruz ekteki şekilde düzenleyebilir misiniz acil olarak,0
by son ay entegrasyonu,by son ay verileri gider bütçesi sekmesinde görünmesine rağmen bütçe plan sekmesine yansımamaktadır bilgilerinize sunar,0
mizan güncelleme hatası,cognos tm uygulama yönetimi küpü içerisinde mizan güncelleme sekmesi çalışmamakta olup uzun süre bekletmektedir sistem güncelleme saatinde herhangi bir değişiklik olup olmadığının kontrol edilmesini talep etmekteyiz dileriz,0
türkiye satış bütçesi,türkiye tarafında satış bütçesi giriş alanında kdv dahil perakende ciro kdv dahil perakende ciro net arasında fark mevcut olması gereken tutarın kdv dahil perakende ciro tutarıdır nedenle iki alanın aynı olması yardımlarınızı rica ediyoruz ekran görüntüsi paylaşılmıştır,0
tm giriş hatası,i̇lker bey in tm ekranında ekte gördüğümüz hatayı almaktayız konu hakkında yardımlarınızı talep ediyoruz gün içinde bütçe girişleri yapılacağı konu önem arz etmektedir,0
gider yatırım sayfasında gider kalemlerinin güncellenmesi,yıl içerisinde yaptığımız çalışmalar sonucunda bütçe planlama sayfası budget küpünde güncellemiş olduğumuz personel giderleri alanlarının gider yatırım sayfası gider bütçesi küpünde güncellenmesi gerekmektedir,0
cari yıl hatası,mail üzerinden görselini iletmiş olduğumuz sorunun çözümü yardımlarınızı beklemekteyiz cari dönemde cari yıl seçilememektedir,0
cognos yapılması istenen eklemeler,budget küpünde para birimi boyutunda elementler tp yp olarak gruplandırılabildiği mizan a aynı boyutlandırılabilme özelliğinin eklenmesi budgetta elementlerin usd olarak karşılığı alınabilkdiği mizan a aynı özelliğin eklenmesi,2
motivasyon primi karsilik gideri,bütçe veri girişi orj den tl girilen verileri kümüle try olarak çevirdiğimizde motivasyon primi karsilik gideri kalemini getirmemektedir gereği bilgilerinize sunar,0
finansal kurumlar kullanıcı hatası,finansal kurumlar md kullanıcısı eralp delikkaya gider yatırım küpünü görememektedir bilgilerinize sunar,0
yeni kalem açılması,kar payı giderleri altına yasal kuruluşlara ödenen komisyonlar kalemi açılmasını talep ederiz,2
cognos budget mizan ürün uyumsuzluğu,genel karşılık giderleri detayı yeni düzenleme sonrası dk eşlemesi yapılmasına rağmen budget görünmemektedir aktif pasif farkına sebep olmaktadır yorumdaki ekran görüntüsünde görüldüğü aynı hesaplar eşli olduğu kalemlerde görünmekte olup bakiyeleri gelmektedir,0
profit margin oranı eklenmesi,ekte bilanço gelir tablosu hesapları oluşturulması istenen profit margin rasyosu formülasyonu j j j bileşenleri verilmiştir i̇lgili oranların tm bütçe planlama küpü budget sekmesi içerisinde altta gelir tablosundan sonra gelen rasyoların içine eklenmesi gerekmektedir ayrıca alt kışında yer alan i̇htiyari ankes satırından sonra gelmesi uygundur,1
bağımsız denetim rapru v maddi̇ duran varliklar net,bağımsız denetim rapru v maddi̇ duran varliklar net menkuller amorti̇smani gayri̇menkuller amorti̇smani ki̇ralamalara i̇li̇şki̇n geli̇şti̇rme mali̇yetleri̇ amorti̇smanlari kullanim hakki olan menkulleri̇n amorti̇smani kullanim hakki olan gayri̇menkulleri̇n amorti̇smani elden çikarilacak kiymetler amorti̇smani elden çikarilacak kiymetler hesaplarının eksi olarak tanımlanmasını talep ederiz,2
ürün hiyerarşi düzenleme,sarı olan kalemler kendi içerisinde bir toplayıcı altında hiyerarşik olarak sıralanacaktır hamza,2
yeni toplayıcı hesap oluşturulması,cognos tm bütçe planlama küpü içerisindeki bugdet sayfasında pasifler altında bulunan alınan krediler para piyasasına borçlar i̇hraç edilen menkul kıymet sermaye benzeri kredi hesaplarının diğer fonlar başlığı açılarak toplayıcı hesabın içerisine taşınmasını talep etmekteyiz,1
personel giderleri,personel giderlerinde aralık aralığında hangi kalemlerin tutarda değiştiğine bakabilir misiniz,3
yeni mağazaların açılış ayı giderleri,yeni mağazalarda şehir içi ulaşım giderleri hesabında açılış ayı masrafları sonuç ekranına yansımamaktadır kontrol edebilir misiniz,0
ana kalem eklenmesi,toplanan fonlar hazine fonları ana toplayıcısı olarak parasal kaynaklar ana toplayıcı kaleminin eklenmesi gerekmektedir bilgilerinize sunarım,1
yetki verme hataları,geçtiğimiz aya kadar uygulama yönetimi sayfasında bulunan küp yetki clientgroups cube security küplerinde bütçe yönetimi servisi olarak kullanıcılara yetki tanımlaması yapabiliyorduk ancak nisan ayı itibariyle alanlardan yetki vermek istediğimizde ekte bulunan görünüm bozulmuş kullanıcı okuma izinlerine sahip değil uyarısı karşılaşılmaktadır bütçe yönetimi servisi olarak ilgili küplerde yetkilerimizin tekrar tanımlanabilmesi yardımlarınızı talep ederiz,0
yetki talebi,yatırım bankacılığı müdürlüğü nden sn zeynep memiş budget küpünü göremiyor budget küpüne aşağıda belirtilen kalemlere görme yetkisi verilmesini talep etmekteyiz aynı zamanda gider yatırım uygulamasında bütçe planlama küpü içerisinde yukarıdaki kalemler write yetkisi istiyoruz sendikasyon kredileri hazine fonlarının altında i̇hraç edilen menkul kıymetler hazine fonlarının altında sermaye benzeri kredi kp giderleri hazine fonlarının altında sukuk kp giderleri hazine fonlarının altında saygılarımla,2
yeni açılan hesapların kırılımda hiyerarşiye yansıması,cognos dk eşleme içerisinde yeni gelen kırılımdaki hesaplar kırılım altında görünmemektedir bt yapılan görüşmede sistemde refresh yapılarak bunun cognos a getirilebileceği belirtilmiştir dwh tarafında ilgili hesapların üst hiyerarşisisinde kırılımda dk lar gelmektedir,2
loft dağitim oranlari,loft dağitim oranlarinin deği̇şi̇kli̇ği̇ i̇çi̇n bi̇lgi̇leri̇ni̇zi̇ ri̇ca ederi̇m iyi̇ çalişmalar,2
sermaye piyasası ürünleri kalemi aktarım,ibm cognos tm bütçe planlama küpü içerisinde budget sekmesinde pasiflerin altında yer alan sermaye piyasası ürünleri kaleminin ekte belirtilen ilgili kalemlerin altına taşınmasını talep etmekteyiz kalemler taşındıktan sonra sermaye piyasası ürünleri ana kalemi kaldırılabilir,2
uk sağlık gideri,ukrayna nın sağlık gideri hesabının bütçelenmesi manuel olarak yapılmış merkez girelecek sayfasına girilmiştir buna rağmen toplam giderler sayfasına gideri getirmemektedir ekran görüntüleri paylaşılmıştır konu hakkında yardımlarınızı rica ediyoruz,0
sümülasyon verilerin aktarılması,bütçe çalışmalarına başlamak üzereyiz doğrultuda tm sümülasyon üzerine çeşitli versiyon çalışmaları yapacağız çalışmaları simülasyondan hareketle yapacağımız simülasyon verilerinin simülasyon verilerine aktarılması yardımlarınızı rica ediyoruz modüller kitapçıklar aktarımlarının yapılması gerekmektedir,2
parametreler başlığının oluşturulması,profit margin dahil gelir tablosunda sonra görülen oranların ayrı bir başlık altında bilanço gelir tablosu aynı hiyerarşide olmak şartı parametreler olarak başlıklandırılmasını talep ederiz,1
sonuç sayfalarının aynı tutmaması,reklam tanıtım giderleri modülünde yer alan reklam tanıtım giderleri sonuç sayfası raporlar modülünde kar zarar tablosu nda reklam tanıtım giderleri sonuç sayfasında değerler birbiriyle tutmamaktadır kontrolünüzü rica ederiz,0
hata,hatanın detayı ekte belirtilmektedir,0
romanya server değişimi cognos tm düzenlemeleri,romanya server değişimi cognos tm düzenlemeleri,2
satış bütçe girişleri,web satış tarafında satış bütçeleri giriş ekranına ulaşımıyorum fiili satışları gördüğümüz bütçeleri girdiğimiz alan burası bunun dışında lfl ekranında görünüm bozulmuş uyarısı alıyorum kontrol edebilir misiniz,0
mali tablo şube bireysel i̇şkolu terste,abg iş kolu bazında gelirleri talep etti ancak yılı yılında yp murabaha finansal kiralama gelirleri bireysel i̇ş kolunda terste görünüyor hatanın giderilmesini talep ederiz,0
i̇k kullanıcı hata kaydı,i̇k kullanıcısı yunus emre batmacı ekteki hatayı almaktadır bilgilerinize sunarım,0
tm kurumsal performans yönetimi karnelerinde toplam puanının oluşmaması,tm kurumsal performans yönetimi karnelerinde apg bazlı puan oluştuğu halde karne toplam puanı oluşmamaktadır ali kılıç bey le görüştüğümüzde karne toplam puanının pergel versiyonunda yer aldığını talep açılırsa yeni versiyona aktarılabileceğini söylemişti karne toplam puanının oluşması konusunda yardımcı olabilirseniz seviniriz,2
caption isim değişikliği kh,cognos tm bütçe modülünde para piyasasına borçlar olan caption isminin geri alım vaadi satım olarak değiştirilmesini talep eder,1
amortismanda yeni yatırımlar giriş ekranında masraf merkezi,amortismanda yeni yatırımlar giriş ekranında masraf merkezi gelmemektedir rica etsem yardımcı olur musunuz,0
veri giriş sonuç ekranlarında versiyonların revize olarak açılması,mevcutta modüllerimiz veri girişi sonuç ekranlarının versiyonları bütçe olarak gözükmektedir hataların yaşanmaması adına versiyonların hepsini revize olarak yapabilir misiniz,0
romanya_yemek gıderlerı hesaplama kontrolü,yeni açılan iki mağazada yemek gideri hesaplamamaktadır armada lotus center kolay gelsin,0
satiş kampanya pri̇mi̇,sedat bey maaş ücret diğer yardımlar ın altına satiş kampanya pri̇mi̇ nin element olarak eklenmesi hususunu bilgilerinize sunarız,2
canpark mağazasının satış parametreleri ekranında gözükmemesi,satış bütçesi modülünde satış parametreleri ekranında canpark mağazası gelmemektedir yardımınızı rica ederiz,0
yeni mağazaların açılış tarihlerinin değişmesi,cognos ta revize bütçe sürecinde yeni mağazalarda açılış tarihlerini değiştirdiğimiz mağazaların isimleri ektedir,2
kiralama giderleri alt kırılım eklenmesi,ibm cognos tm application bütçe planlama küpü budget sekmesi içerisinde yer alan kiralama giderleri ana kalemi içerisine f ifrs kapsamında belirlenen kira giderleri kırılımının eklenmesi gerekmektedir gereği bilgilerinize sunar,2
erbil dwh verisi,erbil mizan dwh tarafından gelen verilerin yurt dışı mizan verilerinin görüntülenebildiği veri ambarı alanına eklenmesini talep ederiz,2
yetki tanımalaması,yetki tanımlaması modülünde amortisman bütçeleme yetkilendirmesi sayfasına sivas primemall mağazasında yozgat mağazasına kadar masraf merkezlerini eklemenizi rica ederiz,2
edge üzerinden cognos erişiminde kısıt güvenli değil uyarısı,şirketimizde chrome explorer tarayıcılarının kullanımının yerini edge tarayıcısının almasıyla birlikte cognos a edge üzerinden erişim sağlıyoruz ancak edge üzerinden girdiğimizde sitede güvenli değil uyarısı alıyoruz dataları rapora aktarmadan kopyalamayı başka dosyaya yapıştırmayı denediğimizde kopyalayamıyoruz hataların kontrolü düzeltilmesi konusunda desteğinizi rica ederiz,3
element ekleme i̇şlemi,online eğitim giderleri dk numarası bütçe hesap planı alanında egitim diger giderler olarak tanımlanmıştır i̇lgili alanda dk eşlemesi yaparken online egitim giderleri dk isminin seçilebilmesi elementin tanımlanması gerekmektedir,2
bağımsız denetim raporu,bağımsız denetim raporunda iii satiş amaçli elde tutulan durdurulan faali̇yetlere i̇li̇şki̇n duran varliklar net satış amaçlı kaleminde bulunan duran varliklar değer düşüş karşiliği t p hesabın eksi olarak çalışmasını talep ederiz saygılarımızla,2
caption değişikliği,cognos fiili raporunda yer alan temizlik giderleri kidem ihbar kalem isminin temizlik taşeron personeli kıdem i̇hbar tazminatı olarak güncellenmesi hususunu bilgilerinize sunarız,2
mısır bütçe raporlama süreçlerinin devreye alınması,mısır bütçe raporlama süreçlerinin devreye alınması,2
caption değişikliği,kira sertifikası kp giderinin satış ilgili olan kısmına satış ifadesi eklenmesi gerekmektedir,1
cognos eğitim giderleri kalemi eklenmesi,personel giderleri ana toplayıcısı altındaki eğitim giderleri toplayıcısı altına aşağıdaki kalemlerin eklenmesi gerekmektedir bütçe girişleri döneminde olduğumuz konu acildir hususta desteğinizi rica ederiz serti̇fi̇kalandirma gi̇derleri̇ ölçme değerlendi̇rme gi̇derleri̇,2
mizan güncelleme problemi,uygulama yönetiminden mizan güncelleme esnasında dakika bekledikten sonra süre hatası vererek sistem kapanmaktadır mizan güncellenemediği rapor alınması sırasında aksaklıklar yaşanmaktadır konuyu bilgilerinize sunarım,0
kümülatif tutar alanının eklenmesi,yönetim raporlarındaki giderler performans tablosu sayfasına kümülatif tutar alanın eklenmesi yardımlarınızı rica ediyoruz tutarlara aylık kümülatif olarak bakmaktayız,2
personel ücret giriş ekranı,i̇nsan kaynakları kullanıcısı i̇pek özkan personel ücretlerini tanımlarken işe giriş tarihlerini kopyalamadığını belirtti yardımcı olabilir misiniz,0
mali tablo kontrol ekranı,mali tablo kontrol ekranında yer alan fark kısımlarının sıfır olması gerekmektedir örnek olarak özkaynaklar gayri nakdi kredilerde fark sıfır olarak gelmemektedir bilgilerinize sunarız,0
ticari mal stokları alış kdv oranı,ticari mal stokları sonuç ekranında alış kdv oranını seçtiğimizde ürün grubuna göre değişen rakamların nereden aktığını öğrenebilir miyiz rica etsek rakamlarda değişiklik yapıp yapamayacağımızı öğrenmek istiyorduk,3
tr kira çalışması,tr kiralar sayfasında veriler girilmiş olmasına rağmen analiz sayfalarına veri akışı gelmemektedir kontrolünüzü rica ederim teşekkür ederim,0
yeni yatırımlar raporu,pelin bilançodaki duran varlıklar sabit kıymetler maliyet rakamının detayı nereden akıyor an orada değerleri görebiliriz konuda yardımcı olabilir misiniz,3
i̇lave tenzilat boyutunda yapılan güncellemelerin cmzn tablolarına yansımaması,i̇lave tenzilat boyutu aracılığıyla yaptığımız düzeltmeler kümülatif boyutlarına yansırken cmzn boyutlarında bulunan verilere etki etmemektedir cmzn tablolarının kümülatif tablolarında olduğu i̇lave tenzilat alanında yapılan güncellemelere göre yeniden hesaplanmasını talep ederiz,2
yatırım küpü yetki düzenlemesi,yatırım küpü kalemlerine yetkisi olmayıp küp yetkisi olan müdürlüklerin tespit edilerek küp yetkilerinin kaldırılması gerekmektedir yetki düzenlemesi sonrası gider yatırım küp görünüm ayarları düzelmesi beklenmektedir,2
kayt işleminin yapılamamsı,sistemde kayt yapılamamaktadır son zamanlarda sıkıntı artmaya başladı bi değişilkilten sonra kayt et yaptığımızda fazla bekletmektedir bazen kayıt olmamaktadır,3
goksel cıvak kullanıcıparola sıfırlaması,göksel cıvak by göksel cıvak kullanıcınılarını parolalarını sıfırlayabilir miyiz lütfen ik kullanıcıları bizimle paylaşmış odluğunuz kullanıcılar listesinde bulunmuyor sanırım ik kullanıcı listesini paylaşabilir misiniz lütfen,2
sayfa sahipliği güncelleme,ibm cognos tm uygulama yönetiminde mizan güncelleme işlemi manuel yapılırken budget diğer küp sekme sahipliklerinin uygulama yönetimi nde sahiplik alan kullanıcıya otomatik olarak geçmesi gerekmektedir aksi takdirde güncelleme işleminde hata alınmaktadır gereği yardımlarınızı talep ederiz,0
kullancı şifre değişimi,bekleyen işlemler arasında yer alan yönetici ekranında istemiş olduğumuz kullanıcı yetkilendirme oluşturma şifre sıfırlandırma alanların açılmasını rica ediyoruz mevcut zaman içinde zaman alacak çalışmayı bitirene kadar sizlere kullancıı isimlerini paylaşarak ilerleyebiliriz,2
yılı yetkilendirmesi,ali bey yılı yetkilendirme ekranlarını açabilir misiniz reel dataların eşleştirilmesinde yılını aktif olarak kullanmaktayız,2
mizan küpü yurtdışı verilerinin gelmesi,mizan küpüne yurtdışı verileri gelmemektedir entegre edilmesini talep ederiz,0
mağazaların açılış kapanış tarihlerine göre güncellenmesi,aşağıda belirtmiş olduğumuz mağazaların açılış kapanış tarihleri değişmiştir buna göre satış gider kalemlerinin tarihlere göre sistemde bütçelenmesi gerekmektedir torium mağazanın satışı geliri gideri temmuz dahil yıl sonuna kadar gelmelidir canpark mağazanın satışı geliri gideri aralık yılının sonuna kadar gelmelidir polatlı mağazanın satışı geliri gideri yılında olmayacak kumsmall mağazanın satışı geliri gideri şubat dahil yıl sonuna kadar gelmelidir,2
seyahat giderleri,seyahat giderleri sayfasında bütçede eylül öncesi tarife li yurtdışı seyahatler görünmüyor kontrol edermisiniz lütfen,0
ik modülü dönem boyutu,tarihli mail ik modülü dönem boyutu,2
tm hiyerarşi tanımlaması,planlama direktörlüğünün hiyerarşi tanımlamasını aşağıdaki yapılmasını rica ediyoruz global ticari bütçe raporlama grup müdürlüğü global ticari bütçe raporlama grup müdürlüğü ticari bütçe raporlama müdürlüğü ticari planlama i̇ş analitiği müdürlüğü,2
kalem i̇sim değişikliği,ekli dosyada görüntülenebileceği şekilde vii sermaye piyasası k z kaleminin alt kırılımları olan sermaye piyasası karı sermaye piyasası zararı kalem isimlerinin yeni isimleri değiştirilmesi gerekmektedir,2
rağporlar sayfasına veri akmaması,raporlar modülü içerisinde yer alan kar zarar tablosu na çorlu merkez mağazadan yozgat mağazasına kadar net satışlar gelmemektedir yardımınızı rica ederim konu ilgili ekran görüntüsü ektedir,0
avrupa dijital bankacılık servisinin eklenmesi,avrupa dijital bankacılık servis i isminde bir müdürlük yapısının sisteme eklenerek yılı bütçe girişi yapacak şekilde yetkilendirilmesini talep etmekteyiz dileriz,2
kurumlar vergisi hesaplamasının düzeltilmesi,raporlar modülünde kar zarar tablosu sayfasında yer alan vergi öncesi net kar satırının altında yer alan kurumlar vergisi hesabının hesaplanmasında hata vardır bütçe dönemi öncesinde hatanın giderilmesi adına yardımınızı rica ederiz,0
araç giderleri,araç giderleri tanımlama sayfasına tz araç olarak bir araç tanımladım tanımlamayı akaryakıt giderleri skala eşleştirme akaryakıt giderleri sonuç araç kiralama giderleri hesaplama sayfalarına tanımlamanızı rica ederim,2
mali tablo şube küpüne yurtdışı veri gelmiyor,mali tablo şube küpünde erbil bağdat verileri gelmiyor buna rağmen mali tablo kontrol küpü kısmında fark sıfır hatanın giderilmesini talep ederiz,0
loft yaşlandırma veri girişi,loft yaşlandırma verisini manuel olarak nerden girebildiğini öğrenmek istiyor yardımcı olabilir misiniz lütfen,2
mağazacılık gider bütçesi,web tarafında mağazacılık gider bütçesinin toplam giderler sayfasına girdiğimde ekteki hatayı alıyorum sayfa kayboluyor konu hakkında yardımlarınızı rica ediyoruz,0
tr amortisman,genel giderler sayfasına amortisman bütçe rakamları amortisman bütçe rakamları gelmemektedir kontrolünü rica ederim,0
ana kalem i̇ptali,cognos bütçe planlama budget sekmesi gelir tablosu içerisinde yer alan katilim fonlari kar payi gi̇derleri̇ kaleminin alt kırılımları azaltıldığından toplayıcı hesaba gerek kalmamaktadır gereği bilgilerinize sunar,2
seyahat giderleri,pınar i̇pdaş adlı kullanıcı seyahat giderlerine giriş yapamamaktadır yardımınızı rica ederiz,0
alt hesap eklenmesi,ibm cognos tm mali tablolar küpü içerisinde eşlediğimiz kiralama giderleri detaylarına e hizmet binaları kira giderleri genel müdürlük kaleminin eklenmesini talep etmekteyiz,2
iç denetim departmanının pazarlama iletişim departmanlarının gider bütçesini kullanamamalı,iç denetim departmanı ekranları pasif görünmektedir işlem yapamıyor pazarlama iletişim departmanının seyahat giderleri çalışmıyor,0
i̇nşaat emlak md kiralama giderleri,i̇nşaat emlak müdürlüğü nün kiralama giderlerinin veri girişi yapılmasına rağmen bütçe plan alanında görünmemektedir bütçe plan olan ekran görüntüsü yorumdadır,2
budget küpü hazine fonları kalemi güncellemeleri,budget küpü hazine fonları kalemi nde ekte bulunan güncellemelerin yapılabilmesi yardımlarınızı rica ederiz mevcut adı kısmında ismi bulunan kalemler budget küpünde bulunan isimlerine karşılık gelmektedir yok ibaresi bulunan kalemlerin eklenmesi gerekmektedir çalışma yapılırken bütçelenen alanında bulunan verilerin bozulmaması kalemlerin bütçe verileri beraber taşınması hususunu hatırlatmak isteriz,2
yetki tanımlama,ali bey gamze paket nuray türk adlı kullanıcılarının ilgili ekranları açılmamaktadır konu ilgili yardımınızı rica ederiz,0
cognos aylık artış try hatası,cognos ta aylık artış try hatalı görünmektedir dönemi bankalar vadesiz örneğinde olduğu bilanço hesapları ndan kaynaklı olarak ocak ayı aylık artış azalış alanları hatalı görünmektedir gerekli kontrollerin yapılması bilgilerinize sunarız,0
